Defunciones según causa de muerte. Avance enero-mayo 2020;;;;;;;;;;
Resultados detallados. Enero 2020-Mayo 2020;;;;;;;;;;
;;;;;;;;;;
Tasas de mortalidad por causas (lista reducida), sexo y tamaño de municipio;;;;;;;;;;
Unidades: defunciones por 100.000 habitantes;;;;;;;;;;
;;;;;;;;;;
 ;Total;Municipio menor o igual a 10.000 habitantes;Municipio de 10.001 a  20.000 habitantes;Municipio de 20.001 a  50.000 habitantes;Municipio de 50.001 a 100.000 habitantes;Municipio mayor de 100.000 habitantes;Capital;;;
    Mujeres;0,691;0,298;0,493;0,588;0,607;0,646;1,071;;;
083 Malformaciones congénitas del sistema nervioso;;;;;;;;;;
    Total;0,057;0,021;0,021;0,090;..;0,041;0,098;;;
    Hombres;0,065;..;0,042;0,078;..;0,085;0,124;;;
    Mujeres;0,050;0,043;..;0,102;..;..;0,075;;;
084 Malformaciones congénitas del sistema circulatorio;;;;;;;;;;
    Total;0,255;0,084;0,124;0,180;0,154;0,187;0,497;;;
    Hombres;0,331;0,145;0,083;0,208;0,157;0,213;0,703;;;
    Mujeres;0,182;0,021;0,164;0,153;0,152;0,162;0,311;;;
085 Otras malformaciones congénitas, deformidades y anomalías cromosómicas;;;;;;;;;;
    Total;0,441;0,220;0,351;0,309;0,463;0,477;0,654;;;
    Hombres;0,422;0,207;0,374;0,286;0,471;0,468;0,620;;;
    Mujeres;0,459;0,235;0,328;0,332;0,455;0,485;0,685;;;
086-089 XVIII.Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;;;;;;;;;;
    Total;8,397;10,789;10,653;7,487;9,375;6,943;6,782;;;
    Hombres;7,455;9,033;9,304;6,576;8,558;6,172;6,283;;;
    Mujeres;9,303;12,600;11,985;8,383;10,164;7,674;7,233;;;
086 Paro cardíaco, muerte sin asistencia y otra causa desconocida de mortalidad;;;;;;;;;;
    Total;3,017;4,219;3,840;2,732;3,607;2,363;2,158;;;
    Hombres;3,089;3,824;3,614;2,807;3,965;2,511;2,453;;;
    Mujeres;2,948;4,626;4,063;2,658;3,262;2,221;1,892;;;
087 Senilidad;;;;;;;;;;
    Total;2,007;2,487;3,179;1,649;2,546;2,114;1,302;;;
    Hombres;1,170;1,488;2,243;1,092;1,217;1,022;0,675;;;
    Mujeres;2,812;3,518;4,105;2,198;3,830;3,150;1,867;;;
088 Muerte súbita infantil;;;;;;;;;;
    Total;0,046;0,042;0,062;0,064;0,019;0,041;0,046;;;
    Hombres;0,026;0,041;0,042;..;..;..;0,041;;;
    Mujeres;0,066;0,043;0,082;0,128;0,038;0,081;0,050;;;
089 Resto de síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte;;;;;;;;;;
    Total;3,327;4,041;3,572;3,041;3,202;2,425;3,277;;;
    Hombres;3,170;3,679;3,406;2,677;3,376;2,639;3,114;;;
    Mujeres;3,477;4,413;3,735;3,399;3,034;2,221;3,424;;;
090-102 XX.Causas externas de mortalidad;;;;;;;;;;
    Total;12,334;10,673;9,311;10,000;11,188;13,595;15,501;;;
    Hombres;15,297;14,387;11,589;12,346;12,916;16,133;19,263;;;
    Mujeres;9,485;6,844;7,060;7,693;9,519;11,187;12,101;;;
090 Accidentes de tráfico;;;;;;;;;;
    Total;0,911;1,396;0,640;0,773;0,694;0,518;0,961;;;
    Hombres;1,497;2,191;1,038;1,196;1,256;0,766;1,667;;;
    Mujeres;0,347;0,576;0,246;0,358;0,152;0,283;0,324;;;
091 Otros accidentes de transporte;;;;;;;;;;
    Total;0,131;0,241;0,124;0,168;0,096;0,104;0,065;;;
    Hombres;0,232;0,434;0,249;0,286;0,079;0,170;0,138;;;
    Mujeres;0,033;0,043;..;0,051;0,114;0,040;..;;;
092 Caídas accidentales;;;;;;;;;;
    Total;2,741;1,616;1,486;1,688;2,025;3,606;4,343;;;
    Hombres;2,925;1,695;1,454;1,767;1,924;3,874;4,891;;;
    Mujeres;2,564;1,535;1,519;1,610;2,124;3,352;3,847;;;
093 Ahogamiento, sumersión y sofocación accidentales;;;;;;;;;;
    Total;2,494;1,984;1,796;2,229;2,604;2,570;3,107;;;
    Hombres;2,379;2,026;1,828;2,365;2,395;2,299;2,825;;;
    Mujeres;2,605;1,940;1,765;2,096;2,806;2,827;3,361;;;
094 Accidentes por fuego, humo y sustancias calientes;;;;;;;;;;
    Total;0,164;0,157;0,062;0,168;0,039;0,124;0,255;;;
    Hombres;0,211;0,207;0,125;0,234;0,039;0,085;0,331;;;
    Mujeres;0,120;0,107;..;0,102;0,038;0,162;0,187;;;
095 Envenenamiento accidental por psicofármacos y drogas de abuso;;;;;;;;;;
    Total;0,601;0,199;0,475;0,425;0,637;0,912;0,870;;;
    Hombres;0,809;0,331;0,623;0,520;0,746;1,447;1,157;;;
    Mujeres;0,401;0,064;0,328;0,332;0,531;0,404;0,610;;;
096 Otros envenenamientos accidentales;;;;;;;;;;
    Total;0,129;0,073;0,124;0,129;0,193;0,145;0,137;;;
    Hombres;0,181;0,124;0,166;0,104;0,275;0,255;0,207;;;
    Mujeres;0,079;0,021;0,082;0,153;0,114;0,040;0,075;;;
097 Otros accidentes;;;;;;;;;;
    Total;1,803;1,501;1,404;1,662;1,890;2,197;2,034;;;
    Hombres;2,147;1,922;1,495;1,923;2,002;2,469;2,577;;;
    Mujeres;1,472;1,066;1,313;1,406;1,782;1,939;1,544;;;
098 Suicidio y lesiones autoinfligidas;;;;;;;;;;
    Total;2,831;3,054;2,849;2,371;2,585;2,798;3,015;;;
    Hombres;4,229;4,920;4,237;3,509;3,533;4,086;4,437;;;
    Mujeres;1,489;1,130;1,478;1,252;1,669;1,575;1,731;;;
099  Agresiones (Homicidio);;;;;;;;;;
    Total;0,213;0,262;0,083;0,180;0,116;0,249;0,262;;;
    Hombres;0,262;0,269;0,042;0,130;0,196;0,255;0,427;;;
    Mujeres;0,165;0,256;0,123;0,230;0,038;0,242;0,112;;;
100 Eventos de intención no determinada;;;;;;;;;;
    Total;0,074;0,052;0,041;0,103;0,058;0,021;0,105;;;
    Hombres;0,108;0,103;0,042;0,156;0,079;..;0,152;;;
    Mujeres;0,041;..;0,041;0,051;0,038;0,040;0,062;;;
101 Complicaciones de la atención médica y quirúrgica;;;;;;;;;;
    Total;0,133;0,042;0,083;0,039;0,154;0,249;0,209;;;
    Hombres;0,151;0,041;0,042;0,078;0,196;0,298;0,234;;;
    Mujeres;0,116;0,043;0,123;..;0,114;0,202;0,187;;;
102 Otras causas externas y sus efectos tardíos;;;;;;;;;;
    Total;0,110;0,094;0,145;0,064;0,096;0,104;0,137;;;
    Hombres;0,168;0,124;0,249;0,078;0,196;0,128;0,220;;;
    Mujeres;0,054;0,064;0,041;0,051;..;0,081;0,062;;;
;;;;;;;;;;
;;;;;;;;;;
Notas:;;;;;;;;;;
;;;;;;;;;;
Fuente: ;;;;;;;;;;
Instituto Nacional de Estadística;;;;;;;;;;
